Country,Year,Code,tb_due_to_hiv,tb_due_to_alcohol,tb_due_to_smoking,tb_due_to_diabetes,tb_due_to_malnourishment,0-4,May-15,16-24 years, 25-34 years, 35-44 years, 45-54 years, 55-64 years, over 65 years
Nicaragua,2022,NIC,97,360,,130,860,14.816499,7.8092213,38.633755,52.92414,57.264362,59.95968,85.90369,89.70877
Maldives,2022,MDV,,9,22,9,,16.084929,7.8685427,29.97512,48.11304,48.84647,39.898,52.93364,95.73577
Colombia,2022,COL,1600,3200,1100,950,3800,16.15835,8.760014,41.666836,58.508087,48.825424,47.46533,63.965103,98.54006
Brazil,2022,BRA,8700,8900,6800,4000,8700,15.436936,8.78685,51.679497,65.09102,55.653927,57.879993,63.05603,55.487934
Comoros,2022,COM,0,4,16,9,,14.886165,8.820589,28.324781,49.242306,48.753086,54.949368,50.676064,142.40639
Uruguay,2022,URY,120,160,130,55,67,15.042118,9.410819,34.67548,53.864906,56.936543,49.061493,42.316494,30.00435
Venezuela,2022,VEN,940,1700,,560,4400,15.168332,9.460507,47.210228,93.20592,56.383595,47.06461,55.673466,62.798626
Vanuatu,2022,VUT,,9,7,6,20,6.5867476,9.619315,29.034021,39.610237,35.76243,60.9657,69.51466,89.97955
Benin,2022,BEN,660,800,160,220,970,16.105988,9.734729,39.409706,76.40567,105.76645,117.63309,126.41865,144.17743
Rwanda,2022,RWA,1900,950,410,150,3400,25.081896,9.747168,33.349453,89.15077,113.8759,108.01783,124.84121,127.145874
Argentina,2022,ARG,720,1600,1500,560,1000,10.187754,9.927665,40.181984,41.92974,31.89291,31.024584,33.97679,25.995226
Algeria,2022,DZA,280,380,1600,1200,1200,23.14132,11.045177,31.756804,52.73152,72.22333,75.38001,85.92488,115.04956
South America,2022,,16702,27169,13569,8996,31921,19.008085,11.101421,59.42508,74.70092,60.218792,60.90138,69.539825,72.09943
China,2022,CHN,15000,58000,74000,27000,39000,23.760286,11.199564,45.464985,42.894535,36.27211,52.422657,74.52694,111.92597
Sri Lanka,2022,LKA,50,860,840,460,950,21.46562,11.323141,39.28376,56.72778,63.69425,85.72472,108.013405,127.04755
Niger,2022,NER,500,290,630,500,,16.716076,11.3626,60.659782,140.61736,181.92336,191.87177,232.56926,325.3963
Romania,2022,ROU,250,590,1300,320,530,12.082221,11.933419,36.361767,50.92942,61.74717,80.71245,75.11845,49.38739
Kazakhstan,2022,KAZ,600,1700,1500,790,780,17.319162,12.052449,70.80173,88.84504,106.00918,123.1269,123.079285,134.5964
Panama,2022,PAN,270,250,51,82,230,22.74379,12.21536,47.894,67.75119,56.826252,52.64492,69.68858,55.083454
Libya,2022,LBY,90,25,,270,,19.487093,12.709229,67.42412,78.8583,58.591732,66.25013,89.87035,156.90013
Mauritania,2022,MRT,120,30,150,140,670,23.17101,12.829478,69.28181,99.87106,136.96988,157.10722,215.70425,294.75726
Micronesia (country),2022,FSM,,5,,4,,79.141754,12.913223,38.793102,54.475132,91.62849,68.56695,45.54771,71.032814
Yemen,2022,YEM,90,130,1200,750,7700,20.468012,13.185328,40.798504,54.69285,69.52483,98.40673,139.18233,212.91135
Upper-middle-income countries,2022,,218900,166351,144751,65044,147814,30.569132,13.427086,54.28257,66.082794,64.37358,69.81585,83.83874,107.90896
Sao Tome and Principe,2022,STP,22,30,6,9,58,26.232088,13.501426,113.01154,107.72492,177.27763,382.96655,248.59589,186.8504
Azerbaijan,2022,AZE,140,800,680,380,370,27.37916,13.63593,97.9616,82.80235,65.165924,77.83013,97.83046,84.21339
Moldova,2022,MDA,210,280,290,91,,17.704111,13.709153,30.277987,71.413536,128.33017,148.3547,99.08889,53.18185
El Salvador,2022,SLV,210,370,130,140,460,17.537111,13.710641,30.436317,83.72012,73.70856,54.214897,69.734566,69.106514
Tajikistan,2022,TJK,230,150,,350,,19.699139,14.098076,91.52568,106.3641,90.70615,117.35534,163.6194,248.84763
Georgia,2022,GEO,95,200,310,120,320,22.463408,14.194464,56.733433,77.691475,82.48578,78.505936,76.931465,53.01529
